"Repollo", 1.34, 609
"Durazno", 157.21, 952
"Cebolla", 46.91, 880
"Kinoto", 39.70, 204
"Kinoto", 24.68, 228
"TomCherry", 566.09, 214
"Alcachofa", 150.69, 255
"Alcachofa", 138.64, 255
"Kiwi", 415.62, 336
"Cebolla", 73.85, 824
"Morron", 2972.66, 720
"Tomate", 780.95, 1062
"Naranja", 6.71, 1180
"Pera", 174.17, 1050
"Pera", 144.80, 1180
"Cebolla", 63.50, 816
"Higo", 2384.49, 110
"Ciruela", 966.04, 1008
"Tomate", 800.95, 801
"TomCherry", 555.87, 226
"Acelga", 29.30, 999
"Ciruela", 968.30, 783
"Morron", 2886.60, 624
"Berenjena", 59.62, 576
"Rabanito", 232.86, 291
"Mandarina", 17.67, 1150
"Champignon", 3633.45, 85
"Brocoli", 358.97, 456
"Higo", 2384.00, 108
"Caqui", 842.26, 104
